StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,RESEARCH INFORMED CONSENT Key Information about This Research Study This section provides highlig...,How often did you use the tutoring chatbot during this academic quarter?,"How often did you use other generative AI tools for this course? For example, ChatGPT, Gemini, or Claude. Note: This survey is anonymous and answering this question will not implicate you in any way for academic dishonesty",About what percentage of the time was the AI Tutor correct?,Indicate which statement you most strongly agree with:,How does the AI Tutor compare to publicly available AI tools like ChatGPT as a study tool?,"Free response: Please share any opinions or insights you have concerning the AI Tutor. Feel free to include what you liked, what you did not like, a comparison to other tools that you have used, or anything else. You may write as little or much as you would like. Do not include any personally identifiable information."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID6""}","{""ImportId"":""QID55""}","{""ImportId"":""QID5""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID60_TEXT""}"
2025-09-04 16:52:39,2025-09-04 16:52:48,Survey Preview,100,9,True,2025-09-04 16:52:49,R_5oCnLeqZ6zA07U6,preview,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",,,,,,
2025-09-04 17:28:41,2025-09-04 17:28:48,Survey Preview,100,6,True,2025-09-04 17:28:48,R_5RIOkPD88GevS0h,preview,EN,"I have read and understood the consent form, and I do NOT provide my consent to participate in this study.",,,,,,
2025-09-25 14:54:55,2025-09-25 14:55:07,Survey Preview,100,11,True,2025-09-25 14:55:07,R_6wTlUNcHyqQDV3H,preview,EN,"I have read and understood the consent form, and I do NOT provide my consent to participate in this study.",,,,,,
2025-11-20 22:48:24,2025-11-20 22:48:49,Survey Preview,100,24,True,2025-11-20 22:48:50,R_32KQ0xzkeLQceJO,preview,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",,,,,,
2025-12-02 14:57:31,2025-12-02 14:58:16,IP Address,100,45,True,2025-12-02 14:58:17,R_668vvgU9KUg8TNn,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,5 to 10 times per week,Prefer not to answer,The AI Tutor was not useful as a personal study tool.,Prefer not to answer,
2025-12-02 14:57:50,2025-12-02 15:02:21,IP Address,100,271,True,2025-12-02 15:02:22,R_6Ivk8kTxRLZ8vxV,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,2-5 times per week,80%,The AI Tutor was somewhat useful as a personal study tool.,The AI Tutor is better.,AI Tutor is definitely better than other AI tools when it comes to course specific content and not hallucinating.
2025-12-02 15:03:55,2025-12-02 15:06:07,IP Address,100,131,True,2025-12-02 15:06:07,R_6VNMd7IstqrDIjv,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,More than 10 times per week,95%,Prefer not to answer,The AI Tutor is significantly better.,"Even thought I have not used the AI Tutor, the purpose is amazing and I think I will be using it to prepare for the Final. It has a nice interface and is easy to use."
2025-12-02 15:08:14,2025-12-02 15:09:29,IP Address,100,74,True,2025-12-02 15:09:29,R_1DMFceJbHLmWjvz,email,EN,"I have read and understood the consent form, and I do NOT provide my consent to participate in this study.",Never,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,
2025-12-02 15:13:40,2025-12-02 15:14:59,IP Address,100,79,True,2025-12-02 15:14:59,R_7GVNi8vgn96pcbx,email,EN,"I have read and understood the consent form, and I do NOT provide my consent to participate in this study.",Never,2-5 times per week,Prefer not to answer,Prefer not to answer,Prefer not to answer,
2025-12-02 15:13:44,2025-12-02 15:15:31,IP Address,100,107,True,2025-12-02 15:15:32,R_6SET3jWxU1IKURH,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,Fewer than 2 times per week,Prefer not to answer,The AI Tutor was not useful as a personal study tool.,The AI Tutor is better.,"While I did not use the AI tutor, I saw how it was used in class and could appreciate the fact that it only took materials from the course "
2025-12-02 15:18:18,2025-12-02 15:21:56,IP Address,100,217,True,2025-12-02 15:21:56,R_62rCDEsClMcsLNv,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",5 to 10 times per week,2-5 times per week,60%,The AI Tutor was somewhat useful as a personal study tool.,The AI Tutor is marginally better.,
2025-12-02 15:22:23,2025-12-02 15:23:38,IP Address,100,74,True,2025-12-02 15:23:38,R_1nUTVLosoSjvueG,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,Never,Prefer not to answer,The AI Tutor was useful as a personal study tool.,Other chatbots are marginally better.,I felt like the limited number of calls caused me to gravitate towards not using the AI tutor.
2025-12-02 15:54:25,2025-12-02 15:56:24,IP Address,100,118,True,2025-12-02 15:56:24,R_6jZ0cJd4gv9eY2A,email,EN,"I have read and understood the consent form, and I do NOT provide my consent to participate in this study.",2-5 times per week,Never,80%,The AI Tutor was somewhat useful as a personal study tool.,Other chatbots are marginally better.,
2025-12-02 15:42:52,2025-12-02 16:07:48,IP Address,100,1495,True,2025-12-02 16:07:48,R_30VMcuV4WWjM4b5,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,2-5 times per week,80%,The AI Tutor was useful as a personal study tool.,The AI Tutor is better.,
2025-12-02 16:57:36,2025-12-02 16:59:48,IP Address,100,131,True,2025-12-02 16:59:48,R_3HTdD1TAPlmqY81,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,5 to 10 times per week,95%,The AI Tutor was somewhat useful as a personal study tool.,Other chatbots are marginally better.,"The AI tutor is good, although when asked to get more specific and give examples, it doesn’t do so. Although, I do really like how it references the lecture slides as it allows me to go back if I want further information."
2025-12-02 16:59:21,2025-12-02 16:59:56,IP Address,100,34,True,2025-12-02 16:59:56,R_3KqnepdQTmos25b,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,2-5 times per week,5%,The AI Tutor was not useful as a personal study tool.,The AI Tutor is significantly better.,
2025-12-02 17:02:41,2025-12-02 17:05:45,IP Address,100,183,True,2025-12-02 17:05:45,R_1Vd4gbxKGTqGwxz,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,Fewer than 2 times per week,80%,The AI Tutor was useful as a personal study tool.,Other chatbots are better.,
2025-12-02 17:06:47,2025-12-02 17:07:03,IP Address,100,16,True,2025-12-02 17:07:04,R_7SCgQ4wTwY1Pcnz,email,EN,"I have read and understood the consent form, and I do NOT provide my consent to participate in this study.",More than 10 times per week,,20%,The AI Tutor was useful as a personal study tool.,The AI Tutor is marginally better.,
2025-12-02 17:08:29,2025-12-02 17:09:22,IP Address,100,52,True,2025-12-02 17:09:23,R_7D0rfo7jbNk6zXJ,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,Prefer not to answer,80%,The AI Tutor was useful as a personal study tool.,Other chatbots are significantly better.,
2025-12-02 17:03:54,2025-12-02 17:13:23,IP Address,100,569,True,2025-12-02 17:13:24,R_1dzRhsdA0U6nr9a,email,EN,"I have read and understood the consent form, and I do NOT provide my consent to participate in this study.",Never,Never,Prefer not to answer,Prefer not to answer,Prefer not to answer,"I never used the chatbot (outside of one time during lecture to get initial impressions) as, even though the RAG on specifically course materials would be useful, I preferred just reading the course materials themselves. They were pretty brief anyways."
2025-12-02 17:12:18,2025-12-02 17:14:29,IP Address,100,131,True,2025-12-02 17:14:29,R_1eNQdfhNPWsBUpb,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,2-5 times per week,80%,The AI Tutor was somewhat useful as a personal study tool.,Other chatbots are better.,AI tutor can only answer specific details from notes that it has been feed
2025-12-02 17:11:51,2025-12-02 17:15:35,IP Address,100,223,True,2025-12-02 17:15:35,R_54k1ax34Hr2bwhz,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,2-5 times per week,Prefer not to answer,The AI Tutor was useful as a personal study tool.,Other chatbots are marginally better.,"I found the AI Tutor to be a good idea and a resource to use. While it seems very limited in the information it can give, it is a good resource when it comes to targeting specific course material rather than material from random online resources."
2025-12-02 17:23:42,2025-12-02 17:25:01,IP Address,100,78,True,2025-12-02 17:25:01,R_3p2OtF3rOP4NTRO,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,2-5 times per week,95%,The AI Tutor was useful as a personal study tool.,Other chatbots are marginally better.,AI Tutor is more class-specific
2025-12-02 17:11:54,2025-12-02 17:29:45,IP Address,100,1070,True,2025-12-02 17:29:45,R_6kV9zf6toiNzZGV,email,EN,"I have read and understood the consent form, and I do NOT provide my consent to participate in this study.",Fewer than 2 times per week,2-5 times per week,95%,The AI Tutor was somewhat useful as a personal study tool.,Other chatbots are marginally better.,
2025-12-02 17:38:03,2025-12-02 17:38:48,IP Address,100,45,True,2025-12-02 17:38:49,R_7a8HoiHsUSCOyDp,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,Never,Prefer not to answer,The AI Tutor was useful as a personal study tool.,Other chatbots are significantly better.,
2025-12-02 17:56:36,2025-12-02 17:57:49,IP Address,100,72,True,2025-12-02 17:57:49,R_3CeX07GVhndrKW3,email,EN,"I have read and understood the consent form, and I do NOT provide my consent to participate in this study.",Never,5 to 10 times per week,Prefer not to answer,Prefer not to answer,Prefer not to answer,Sometimes the ai tutor did not have enough available information to fully grasp concepts in the class
2025-12-02 18:03:09,2025-12-02 18:03:45,IP Address,100,35,True,2025-12-02 18:03:45,R_5ILA5vV0GxmG8Jr,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,Fewer than 2 times per week,Prefer not to answer,Prefer not to answer,Prefer not to answer,
2025-12-02 18:02:51,2025-12-02 18:03:59,IP Address,100,67,True,2025-12-02 18:04:00,R_7FPt4K2BMAlOAUy,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,2-5 times per week,80%,The AI Tutor was useful as a personal study tool.,Other chatbots are marginally better.,
2025-12-02 18:03:48,2025-12-02 18:04:38,IP Address,100,49,True,2025-12-02 18:04:38,R_36n0aoj5MzA6Hjr,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,Fewer than 2 times per week,Prefer not to answer,Prefer not to answer,Prefer not to answer,
2025-12-02 18:03:58,2025-12-02 18:04:48,IP Address,100,50,True,2025-12-02 18:04:48,R_5JdXYxKvSqT1a7g,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,Never,Prefer not to answer,The AI Tutor was not useful as a personal study tool.,Prefer not to answer,
2025-12-02 18:03:50,2025-12-02 18:05:05,IP Address,100,74,True,2025-12-02 18:05:05,R_3GEApDW0owU4Eay,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",5 to 10 times per week,5 to 10 times per week,80%,The AI Tutor was useful as a personal study tool.,Other chatbots are better.,NA
2025-12-02 18:03:45,2025-12-02 18:05:17,IP Address,100,91,True,2025-12-02 18:05:17,R_3NsFIjLF1uUyXOe,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,2-5 times per week,Prefer not to answer,The AI Tutor was not useful as a personal study tool.,Other chatbots are marginally better.,
2025-12-02 18:04:32,2025-12-02 18:05:22,IP Address,100,49,True,2025-12-02 18:05:23,R_6IBaBXGc2T5H4Zz,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,2-5 times per week,Prefer not to answer,The AI Tutor was useful as a personal study tool.,Other chatbots are marginally better.,
2025-12-02 18:04:59,2025-12-02 18:05:43,IP Address,100,43,True,2025-12-02 18:05:43,R_5uPUnj0hlWvCHrr,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,2-5 times per week,Prefer not to answer,The AI Tutor was somewhat useful as a personal study tool.,Other chatbots are marginally better.,
2025-12-02 18:04:14,2025-12-02 18:05:56,IP Address,100,101,True,2025-12-02 18:05:56,R_5cj8sPeioAFq7C1,email,EN,"I have read and understood the consent form, and I do NOT provide my consent to participate in this study.",Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,
2025-12-02 18:05:13,2025-12-02 18:06:16,IP Address,100,62,True,2025-12-02 18:06:16,R_6CDWa5JZBaZFMw9,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,5 to 10 times per week,Prefer not to answer,The AI Tutor was useful as a personal study tool.,Other chatbots are better.,
2025-12-02 18:04:35,2025-12-02 18:06:28,IP Address,100,112,True,2025-12-02 18:06:29,R_5WI0jBE1R7YgtMo,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,2-5 times per week,Prefer not to answer,The AI Tutor was not useful as a personal study tool.,Other chatbots are significantly better.,
2025-12-02 18:06:01,2025-12-02 18:06:37,IP Address,100,35,True,2025-12-02 18:06:37,R_5t30WsBMe2JETst,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,Never,Prefer not to answer,Prefer not to answer,Prefer not to answer,
2025-12-02 17:23:16,2025-12-02 18:06:52,IP Address,100,2616,True,2025-12-02 18:06:53,R_6zUgzjneYkf78nN,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,Fewer than 2 times per week,95%,The AI Tutor was somewhat useful as a personal study tool.,Other chatbots are better.,
2025-12-02 18:05:48,2025-12-02 18:07:02,IP Address,100,73,True,2025-12-02 18:07:02,R_520f0wpJWuskb0r,email,EN,"I have read and understood the consent form, and I do NOT provide my consent to participate in this study.",Never,2-5 times per week,80%,The AI Tutor was hardly useful as a personal study tool.,Other chatbots are significantly better.,"I feel like the resources were limited in terms of what information they provided
"
2025-12-02 18:06:11,2025-12-02 18:07:04,IP Address,100,52,True,2025-12-02 18:07:04,R_3NVcidBduTnQ9Sb,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,2-5 times per week,Prefer not to answer,The AI Tutor was somewhat useful as a personal study tool.,Prefer not to answer,
2025-12-02 18:06:00,2025-12-02 18:07:22,IP Address,100,81,True,2025-12-02 18:07:22,R_5ClGjD1jUDMvUhX,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,More than 10 times per week,60%,The AI Tutor was hardly useful as a personal study tool.,Other chatbots are better.,AI Tutor couldn't think very well outside of its course material. It's basically a better search tool for the course material
2025-12-02 18:06:22,2025-12-02 18:07:27,IP Address,100,65,True,2025-12-02 18:07:28,R_3m90LBQMw8QWVBa,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,Fewer than 2 times per week,100%,The AI Tutor was somewhat useful as a personal study tool.,The AI Tutor is marginally better.,
2025-12-02 18:04:17,2025-12-02 18:07:28,IP Address,100,191,True,2025-12-02 18:07:28,R_3QFEqvDQpdTpOfT,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,2-5 times per week,95%,The AI Tutor was hardly useful as a personal study tool.,Other chatbots are better.,"I feel like the AI Tutor was a bit too restricted. So much so to the point where the AI doesn't really process any information but just gives you directions of where the information is. It's not a bad idea but I feel like the strength of an AI tutor would be emphasized in its ability to process information given to them and display it to us in a much digestible way. "
2025-12-02 18:03:39,2025-12-02 18:07:29,IP Address,100,229,True,2025-12-02 18:07:29,R_1DUMTfkFwG8Yy2m,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,Fewer than 2 times per week,100%,The AI Tutor was useful as a personal study tool.,Other chatbots are marginally better.,"Helped me study for my midterm fairly well. "
2025-12-02 18:07:00,2025-12-02 18:07:42,IP Address,100,41,True,2025-12-02 18:07:43,R_1o1kfBqPdyvQS3j,email,EN,"I have read and understood the consent form, and I do NOT provide my consent to participate in this study.",Never,Never,80%,The AI Tutor was somewhat useful as a personal study tool.,Other chatbots are better.,
2025-12-02 18:06:01,2025-12-02 18:07:57,IP Address,100,116,True,2025-12-02 18:07:58,R_5FkCnUTdyPK9tBK,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,2-5 times per week,60%,The AI Tutor was somewhat useful as a personal study tool.,Other chatbots are better.,"To be honest, when I did use the AI I would often cross reference it a bit, but usually just used it as a way to bounce ideas back and forth. I felt it was easier to get this from other AI bots than the tutor bot."
2025-12-02 18:07:18,2025-12-02 18:08:12,IP Address,100,54,True,2025-12-02 18:08:13,R_31hScJzssxiod95,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,Fewer than 2 times per week,80%,The AI Tutor was somewhat useful as a personal study tool.,Other chatbots are marginally better.,
2025-12-02 18:08:19,2025-12-02 18:09:22,IP Address,100,63,True,2025-12-02 18:09:22,R_7GKPsavvoGAd3yN,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,Never,Prefer not to answer,The AI Tutor was useful as a personal study tool.,The AI Tutor is marginally better.,"I liked how it was based on class materials making the information more factual and relative to what I am looking for as a user. "
2025-12-02 18:07:18,2025-12-02 18:09:31,IP Address,100,132,True,2025-12-02 18:09:31,R_3dWfufAbC2k2ZwI,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,2-5 times per week,60%,Prefer not to answer,Prefer not to answer,I think I didn’t use it because there are already many other places to reference. I also mainly use AI for other courses rather than cs.
2025-12-02 18:09:08,2025-12-02 18:09:48,IP Address,100,39,True,2025-12-02 18:09:49,R_3hFz20FPn3CPbIl,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,More than 10 times per week,80%,The AI Tutor was somewhat useful as a personal study tool.,Other chatbots are marginally better.,
2025-12-02 18:09:32,2025-12-02 18:10:12,IP Address,100,39,True,2025-12-02 18:10:12,R_73EmFs1c8trQ0lW,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,5 to 10 times per week,Prefer not to answer,The AI Tutor was somewhat useful as a personal study tool.,Other chatbots are better.,
